Feature,Importance
TFIDF_gigi,0.03383042214260299
TFIDF_kepala,0.022625214349753602
Umur,0.01892231866383016
TFIDF_fraktur,0.018142255357876485
TFIDF_tes,0.01779434746507557
TFIDF_gingiva,0.01741552578336865
TFIDF_sariawan,0.016115651202634498
TFIDF_impaksi,0.015488241016452457
TFIDF_dan,0.015470105920783518
TFIDF_alveolar,0.014851718641936828
TFIDF_ridge,0.014712732118121566
TFIDF_atas,0.01458884085355658
TFIDF_operkulum,0.014346085666131613
TFIDF_target,0.014082991235065704
TFIDF_oral,0.014009671276858985
TFIDF_bibir,0.01394229378740282
TFIDF_bungsu,0.013480077263025301
TFIDF_kulit,0.01296269298426657
TFIDF_gusi,0.01266892371368172
TFIDF_saat,0.012301648967387696
TFIDF_sakit,0.012121672861881622
TFIDF_dentin,0.011498667219966272
TFIDF_berdenyut,0.01108316582028381
TFIDF_erupsi,0.010715049771949299
TFIDF_susu,0.010573202771268296
TFIDF_vitalitas,0.009841928184723731
TFIDF_terasa,0.009574459658948174
TFIDF_pada,0.00945631196353189
TFIDF_di,0.009075900381492618
Diastolik,0.008890281128598635
TFIDF_nyeri,0.008755704130306673
Sistolik,0.008731172387030075
TFIDF_ke,0.008436809833278082
TFIDF_kalkulus,0.00830635139230853
TFIDF_mukosa,0.008252142752240671
TFIDF_permanen,0.008114855174965307
TFIDF_dengan,0.008068914993932917
TFIDF_kavitas,0.008050016887516066
TFIDF_lesi,0.007794006835118982
TFIDF_edentulous,0.0076445814225427995
TFIDF_vermillion,0.007601043174654611
TFIDF_lunak,0.0075814343296893615
TFIDF_pulpa,0.007235039439821084
TFIDF_menggigit,0.0072102921676770884
TFIDF_eritematosa,0.006788410837993927
TFIDF_tmj,0.006652617705203447
TFIDF_erosif,0.006539626312601565
TFIDF_kering,0.0064938055661692695
TFIDF_mahkota,0.006151678554262052
TFIDF_luka,0.006051673721885468
TFIDF_goyang,0.005929377555120929
TFIDF_servikal,0.005814244351722279
TFIDF_sensitif,0.005703754799992414
TFIDF_dalam,0.005676165472017865
